Date,NetValue1,NetValue2
20240101,359104.9,648418.12
20240102,361408.35,649408.76
20240103,356102.99,650456.29
20240104,359531.05,650839.45
20240105,360042.04,651049.19
20240106,361276.95,651036.57
20240107,364512.08,651438.2
20240108,364162.58,651317.24
20240109,365751.0,651470.03
20240110,363639.06,651407.51
20240111,365871.67,651581.38
20240112,365607.87,651801.13
20240113,366863.9,651829.76
20240114,366051.13,652191.75
20240115,363757.64,652267.72
20240116,363590.39,652363.82
20240117,362477.38,652709.74
20240118,360183.73,652731.49
20240119,361439.68,652826.11
20240120,359606.4,652842.42
20240121,360644.64,653022.5
20240122,361441.85,653185.77
20240123,361638.24,653272.25
20240124,363204.37,653482.78
20240125,363754.22,653612.96
20240126,365592.24,653697.46
20240127,366249.21,653924.39
20240128,366070.51,654044.72
20240129,368738.12,654240.35
20240130,369599.77,654381.46
20240131,368825.94,654506.34
20240201,368126.09,654715.71
20240202,367615.73,654779.75
20240203,367365.0,654832.25
20240204,367722.21,654970.61
20240205,365978.05,655174.55
20240206,364544.3,654791.65
20240207,365291.41,654997.25
20240208,366014.25,654920.1
20240209,362005.72,655071.65
20240210,363424.12,655269.05
20240211,362425.92,655323.78
20240212,362026.93,655494.67
20240213,353925.03,655568.98
20240214,353328.67,655652.3
20240215,359794.44,655938.98
20240216,358646.59,656084.83
20240217,359857.05,656212.25
20240218,358362.52,656191.53
20240219,358061.24,656213.53
20240220,359403.38,656232.84
20240221,362441.43,656401.44
20240222,368586.09,656477.47
20240223,373406.4,656618.97
20240224,374407.32,656797.87
20240225,376357.71,656805.5
20240226,382163.1,656829.82
20240227,381303.12,657493.34
20240228,379770.89,657634.63
20240229,389427.45,658087.41
20240301,387363.0,658280.26
20240302,391417.35,658010.21
20240303,388762.01,658959.7
20240304,390856.72,659547.34
20240305,389631.05,659661.23
20240306,389532.75,660290.57
20240307,389340.65,660585.41
20240308,390409.9,660724.67
20240309,385920.71,661133.49
20240310,387979.64,661747.88
20240311,388991.04,662197.31
20240312,384021.88,662691.5
20240313,383918.11,663349.43
20240314,383243.17,664312.45
20240315,384400.23,664772.91
20240316,374083.81,665921.18
20240317,377310.44,667133.32
20240318,378826.33,667933.75
20240319,380622.76,668995.23
20240320,375594.44,670229.92
20240321,375445.56,671759.56
20240322,379530.08,673898.39
20240323,382136.79,674325.0
20240324,387392.55,674995.99
20240325,390692.35,675837.72
20240326,392614.99,676600.66
20240327,395259.9,677167.08
20240328,392347.94,678171.89
20240329,398320.26,679084.15
20240330,394875.95,680035.32
